a,b,inverse,score,ok,preview
105,66,True,1.51,False,упшхисбоаэюбигвжвауобьтбисеуеэ
948,261,True,0.92,False,ощцюмреоунжытсжуцпсоввйымрезмн
750,535,True,1.33,False,ууранчжсшоуцшыжбуфлстмэцнччьго
46,37,True,1.31,False,прльэяяйеоклпщрпшдбйюзылэяенйо
118,765,True,1.33,False,щйгэвежлволживюькиблзрвжвещбчо
13,344,True,0.85,False,двыюжлнняомбакмиьмбнрщйбжлнфжо
862,573,True,1.26,False,оижьждгклнуеабэыызюкшпкежднабн
752,67,True,1.46,False,тгшмбжоскзфнурветьксухунбжьйвз
512,885,True,1.32,False,цшунскдацывюепрщреваывсюсксьты
345,309,True,1.08,False,ьчюккюьфоажмхтьькйуфиэдмкютдюа
99,148,True,1.32,False,сжштщкэдфбмйанвуезвджяхйщктояб
851,532,True,0.86,False,рпмювяйчфдьгатдщялфчрмцгвятолд
611,389,True,1.31,False,ойцбыьюаывезфщщхаюеащшязыьтойв
444,774,True,2.22,False,мгадушсибаолкбпсврфидезлуштоза
209,24,True,1.46,False,нлзвяирэхзлблююймтфэлшмбяидеюз
110,914,True,0.69,False,оятрэпхцлкдляьыфбгкцпвйлэпнафк
721,265,True,1.52,False,дспыяфыамхпьыяьуикцардоьяфжчдх
554,650,True,1.45,False,щибховилмащунньддцрлагьуовйьэа
449,365,True,1.56,False,ихмбодьоиуэрщяофпйюоемнроднтму
350,294,True,1.49,False,сейндтвоемызкфешярыоехбздтнацм
240,749,True,1.13,False,ыэпуащеотшптдпгычдйопкртащшцыш
794,30,True,1.33,False,знгзиляочаеьрщзцжэмоьбрьилбйта
616,334,True,1.22,False,гцвдфргщсощвйьгтхелщцсьвфрнкво
517,263,True,1.32,False,улаклхожяосгхнпээюлжьйшглхнашо
407,718,True,1.68,False,жжюшсмчгуоеытбдкычпгалгысмхтго
167,575,True,1.94,False,шбэзчгбаиощтофччшсуаднотчгяено
784,22,True,0.88,False,птюыаасьящофьввждюкьсгффааенрщ
267,719,True,1.14,False,флйеюйимщюшщмчпфхыхмщядщюйязфю
100,143,True,0.83,False,аэдщтьлнжжсдйгзсрфвнццздтьбыуж
180,511,True,1.52,False,еикьцдэкщнхеьбпыазчккпмецдчапн
177,699,True,1.35,False,ийщбчьжашвйзьщххтюнажшгзчьтозв
277,198,True,0.83,False,тзввыыпнццтющсхяиданюэцюыыточц
357,566,True,0.96,False,шлдавэнтннчрквэмнчлтшфзрвэтойн
694,333,True,0.90,False,гроцщтппэюявлдизвбвпээувщтшфвю
517,672,True,1.06,False,лшччдгжуцьйрныикхлгууцррдгенрь
794,793,True,1.83,False,щмхжыкснйячыгшщхшьяноагыыкуидя
874,200,True,1.44,False,ттжяяцьррнрхищсазубрблщхяцьыын
861,146,True,1.49,False,цяувеамосхжчошркззхоберчеацбдх
684,485,True,1.57,False,ефхщэбиобедююкбэпччошяаюэбенае
167,221,True,1.36,False,юпвхэсжонэабфгюжяашойьфбэсдутэ
80,13,True,1.12,False,мщйюьркоунйызсеубпцойвмыьржзмн
781,132,True,1.29,False,тунабчысюовцьыибчфаснмлцбчаьио
604,471,True,1.35,False,яруьфякйкоалнщыпкдмйязрлфяеноо
87,207,True,1.42,False,ейрэшеьлзозжпвжьрицлцрюжшеьбэо
881,592,True,0.61,False,лвнюьлнндообрктицмбнощлбьлсфло
853,923,True,1.15,False,окдяжььсбмипйбслццщсеучпжьенэм
733,272,True,0.94,False,пиэшкгжыэцсмжзыппячыуйюмкгпюац
908,861,True,0.77,False,цдюмосфньльжругчнпннйфвжосьянл
289,458,True,1.35,False,хрщсшжнхшньштоаявюрхотфшшжсьян
108,759,True,0.66,False,дгнолсхьсбйюймбвыцчьмщщюлснахб
841,387,True,1.78,False,иуажющфршьаицоччремрашюиющнаиь
55,15,True,0.97,False,рюшбмяянйфыцсчййфжинсдецмянаьф
397,573,True,1.51,False,щирььдйкщнценбщышздквпнеьднапн
228,780,True,1.31,False,геффиклтфцббмжцювощтядфбиквпсц
120,98,True,1.53,False,йщтзууээшстеыящхвиеэсффеууенйс
175,36,True,1.78,False,вытлихднкйфяфщлвюсхнкьбяихщрнй
517,594,True,1.60,False,жктйюфбесндвимвьпэюеоилвюфяялн
53,389,True,1.32,False,ьйфбгьюацвцзбщохдюеаишрзгьхоев
906,668,True,1.43,False,бпщмеоуаишццахйдюзкабймцеоенхш
786,17,True,1.63,False,птавйчоаидэоэузлуьэазсройччэед
342,203,True,1.33,False,тмуцбешайнрягчкэзтчаыбиябесюзн
672,185,True,1.78,False,ьэчьщздчщахфяясоппбчгыэфщзасуа
564,464,True,1.45,False,шебсцййгшаьиемчтщжогпюеицйенга
619,402,True,1.13,False,абюцсищнйабоохзркыынчмйосиапла
